Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     28.58     0.00      420     0.00     0.00  deblock_h_chroma_intra_c
  0.00     28.58     0.00      420     0.00     0.00  deblock_v_chroma_intra_c
  0.00     28.58     0.00      383     0.00     0.00  predict_16x16_dc_left
  0.00     28.58     0.00      378     0.00     0.00  get_zone
  0.00     28.58     0.00      378     0.00     0.00  x264_frame_pop_unused
  0.00     28.58     0.00      374     0.00     0.00  x264_frame_push_unused
  0.00     28.58     0.00      340     0.00     0.08  Encode_frame
  0.00     28.58     0.00      340     0.00     0.08  x264_encoder_encode
  0.00     28.58     0.00      337     0.00     0.00  deblock_v_luma_intra_c
  0.00     28.58     0.00      336     0.00     0.00  x264_frame_pop
  0.00     28.58     0.00      333     0.00     0.00  deblock_h_luma_intra_c
  0.00     28.58     0.00      314     0.00     0.00  x264_log
  0.00     28.58     0.00      310     0.00     0.00  predict_4x4_dc_left
  0.00     28.58     0.00      309     0.00     0.00  scenecut
  0.00     28.58     0.00      305     0.00     0.00  write_nalu_bsf
  0.00     28.58     0.00      305     0.00     0.00  x264_nal_encode
  0.00     28.58     0.00      305     0.00     0.00  x264_nal_end
  0.00     28.58     0.00      305     0.00     0.00  x264_nal_start
  0.00     28.58     0.00      302     0.00     0.00  x264_mdate
  0.00     28.58     0.00      300     0.00     0.00  accum_p_qp_update
  0.00     28.58     0.00      300     0.00     0.00  predict_size
  0.00     28.58     0.00      300     0.00     0.00  rate_estimate_qscale
  0.00     28.58     0.00      300     0.00     0.00  read_frame_yuv
  0.00     28.58     0.00      300     0.00     0.00  set_eop_bsf
  0.00     28.58     0.00      300     0.00     0.00  setup_inverse_delta_pocs
  0.00     28.58     0.00      300     0.00     0.00  update_vbv
  0.00     28.58     0.00      300     0.00     0.00  x264_adaptive_quant_frame
  0.00     28.58     0.00      300     0.00     0.00  x264_cabac_context_init
  0.00     28.58     0.00      300     0.00     0.00  x264_cabac_encode_flush
  0.00     28.58     0.00      300     0.00     0.00  x264_cabac_encode_init
  0.00     28.58     0.00      300     0.00     0.00  x264_encoder_frame_end
  0.00     28.58     0.00      300     0.00     0.00  x264_frame_copy_picture
  0.00     28.58     0.00      300     0.00     0.00  x264_frame_expand_border_lowres
  0.00     28.58     0.00      300     0.00     0.00  x264_frame_init_lowres
  0.00     28.58     0.00      300     0.00     0.00  x264_macroblock_slice_init
  0.00     28.58     0.00      300     0.00     0.00  x264_noise_reduction_update
  0.00     28.58     0.00      300     0.00     0.00  x264_ratecontrol_end
  0.00     28.58     0.00      300     0.00     0.00  x264_ratecontrol_set_estimated_size
  0.00     28.58     0.00      300     0.00     0.00  x264_ratecontrol_start
  0.00     28.58     0.00      300     0.00     0.00  x264_slice_header_init
  0.00     28.58     0.00      300     0.00     0.00  x264_slice_header_write
  0.00     28.58     0.00      300     0.00     0.07  x264_slices_write
  0.00     28.58     0.00      253     0.00     0.00  predict_4x4_dc_top
  0.00     28.58     0.00      222     0.00     0.00  x264_macroblock_bipred_init
  0.00     28.58     0.00      157     0.00     0.00  x264_lowres_context_init
  0.00     28.58     0.00      152     0.00     0.00  add16x16_idct_dc
  0.00     28.58     0.00      152     0.00     0.00  update_predictor
  0.00     28.58     0.00       80     0.00     0.09  x264_slicetype_analyse
  0.00     28.58     0.00       78     0.00     0.00  clip_qscale
  0.00     28.58     0.00       78     0.00     0.00  get_qscale
  0.00     28.58     0.00       78     0.00     0.03  x264_macroblock_tree
  0.00     28.58     0.00       78     0.00     0.00  x264_rc_analyse_slice
  0.00     28.58     0.00       78     0.00     0.09  x264_slicetype_decide
  0.00     28.58     0.00       78     0.00     0.00  x264_slicetype_frame_cost_recalculate
  0.00     28.58     0.00       45     0.00     0.00  x264_frame_delete
  0.00     28.58     0.00       45     0.00     0.00  x264_frame_new
  0.00     28.58     0.00       42     0.00     0.00  bs_write_ue_big
  0.00     28.58     0.00       41     0.00     0.00  x264_encoder_delayed_frames
  0.00     28.58     0.00       26     0.00     0.00  bs_write
  0.00     28.58     0.00       22     0.00     0.00  predict_8x8c_dc_128
