Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     22.24     0.00        1     0.00     0.00  close_file_yuv
  0.00     22.24     0.00        1     0.00     0.00  get_frame_total_yuv
  0.00     22.24     0.00        1     0.00     0.00  mbcmp_init
  0.00     22.24     0.00        1     0.00     0.00  open_file_bsf
  0.00     22.24     0.00        1     0.00     0.00  open_file_yuv
  0.00     22.24     0.00        1     0.00     0.00  qp2qscale
  0.00     22.24     0.00        1     0.00     0.00  set_param_bsf
  0.00     22.24     0.00        1     0.00     0.00  x264_cpu_detect
  0.00     22.24     0.00        1     0.00     0.00  x264_cpu_num_processors
  0.00     22.24     0.00        1     0.00     0.00  x264_cqm_delete
  0.00     22.24     0.00        1     0.00     0.00  x264_cqm_init
  0.00     22.24     0.00        1     0.00     0.00  x264_dct_init
  0.00     22.24     0.00        1     0.00     0.00  x264_dct_init_weights
  0.00     22.24     0.00        1     0.00     0.00  x264_deblock_init
  0.00     22.24     0.00        1     0.00     0.00  x264_encoder_close
  0.00     22.24     0.00        1     0.00     0.00  x264_encoder_open
  0.00     22.24     0.00        1     0.00     0.00  x264_init_vlc_tables
  0.00     22.24     0.00        1     0.00     0.00  x264_lowres_context_alloc
  0.00     22.24     0.00        1     0.00     0.00  x264_macroblock_cache_end
  0.00     22.24     0.00        1     0.00     0.00  x264_macroblock_cache_init
  0.00     22.24     0.00        1     0.00     0.00  x264_mc_init
  0.00     22.24     0.00        1     0.00     0.00  x264_param2string
  0.00     22.24     0.00        1     0.00     0.00  x264_param_default
  0.00     22.24     0.00        1     0.00     0.00  x264_picture_alloc
  0.00     22.24     0.00        1     0.00     0.00  x264_picture_clean
  0.00     22.24     0.00        1     0.00     0.00  x264_pixel_init
  0.00     22.24     0.00        1     0.00     0.00  x264_pps_init
  0.00     22.24     0.00        1     0.00     0.00  x264_pps_write
  0.00     22.24     0.00        1     0.00     0.00  x264_predict_16x16_init
  0.00     22.24     0.00        1     0.00     0.00  x264_predict_4x4_init
  0.00     22.24     0.00        1     0.00     0.00  x264_predict_8x8_init
  0.00     22.24     0.00        1     0.00     0.00  x264_predict_8x8c_init
  0.00     22.24     0.00        1     0.00     0.00  x264_quant_init
  0.00     22.24     0.00        1     0.00     0.00  x264_ratecontrol_delete
  0.00     22.24     0.00        1     0.00     0.00  x264_ratecontrol_new
  0.00     22.24     0.00        1     0.00     0.00  x264_ratecontrol_summary
  0.00     22.24     0.00        1     0.00     0.00  x264_rdo_init
  0.00     22.24     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00     22.24     0.00        1     0.00     0.00  x264_sei_version_write
  0.00     22.24     0.00        1     0.00     0.00  x264_sps_write
  0.00     22.24     0.00        1     0.00     0.00  x264_validate_parameters
  0.00     22.24     0.00        1     0.00     0.00  x264_zigzag_init

			Call graph


granularity: each sample hit covers 4 byte(s) for 0.04% of 22.24 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   22.24                 main [1]
                0.00   22.24     115/115         Encode_frame [2]
                0.00    0.00       1/1           x264_encoder_open [131]
                0.00    0.00      77/77          x264_mdate [179]
                0.00    0.00      75/75          read_frame_yuv [182]
                0.00    0.00      41/41          x264_encoder_delayed_frames [192]
                0.00    0.00       1/1           x264_param_default [220]
                0.00    0.00       1/1           open_file_bsf [203]
                0.00    0.00       1/1           open_file_yuv [204]
                0.00    0.00       1/1           get_frame_total_yuv [201]
                0.00    0.00       1/1           set_param_bsf [206]
                0.00    0.00       1/1           x264_picture_alloc [221]
                0.00    0.00       1/1           x264_picture_clean [222]
                0.00    0.00       1/1           x264_encoder_close [214]
                0.00    0.00       1/47798       x264_free [142]
                0.00    0.00       1/1           close_file_yuv [200]
                0.00    0.00       1/1           close_file_bsf [199]
-----------------------------------------------
                0.00   22.24     115/115         main [1]
[2]    100.0    0.00   22.24     115         Encode_frame [2]
                0.00   22.24     115/115         x264_encoder_encode [3]
                0.00    0.00      78/78          x264_nal_encode [178]
                0.00    0.00      78/78          write_nalu_bsf [177]
                0.00    0.00      75/75          x264_encoder_frame_end [184]
                0.00    0.00      75/75          set_eop_bsf [183]
                0.00    0.00       2/47798       x264_free [142]
                0.00    0.00       2/1306        x264_malloc [166]
-----------------------------------------------
                0.00   22.24     115/115         Encode_frame [2]
[3]    100.0    0.00   22.24     115         x264_encoder_encode [3]
                0.01   20.80      75/75          x264_slice_write [4]
                0.00    1.21      75/75          x264_slicetype_decide [17]
                0.01    0.09      75/75          x264_adaptive_quant_frame [65]
                0.00    0.07      75/75          x264_frame_init_lowres [71]
                0.00    0.05      75/75          x264_ratecontrol_start [78]
                0.00    0.00     224/224         x264_frame_push [170]
                0.00    0.00     221/221         x264_frame_shift [171]
                0.00    0.00     149/150         x264_frame_pop_unused [173]
                0.00    0.00      75/29775       x264_ratecontrol_qp [145]
                0.00    0.00      75/75          x264_macroblock_slice_init [186]
                0.00    0.00      75/75          x264_frame_copy_picture [185]
                0.00    0.00      71/146         x264_frame_push_unused [174]
