Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.01    333.28     0.04   792000     0.00     0.00  ac_energy_mb
  0.01    333.32     0.04   792000     0.00     0.00  x264_adaptive_quant
  0.01    333.36     0.04   718056     0.00     0.00  x264_pixel_sad_x3_8x16
  0.01    333.40     0.04   594104     0.00     0.00  sub4x4_dct_dc
  0.01    333.44     0.04   477857     0.00     0.00  predict_16x16_h
  0.01    333.48     0.04   439097     0.00     0.00  predict_16x16_dc
  0.01    333.52     0.04   117337     0.00     0.00  x264_mb_analyse_inter_p8x16
  0.01    333.56     0.04  2192582     0.00     0.00  x264_pixel_satd_8x16
  0.01    333.59     0.04  1783582     0.00     0.00  predict_4x4_v
  0.01    333.62     0.04  1083965     0.00     0.00  x264_pixel_sad_x4_8x16
  0.01    333.66     0.04   525492     0.00     0.00  x264_mb_analyse_inter_direct
  0.01    333.69     0.04   456563     0.00     0.00  x264_cabac_mb_cbp_luma
  0.01    333.73     0.03  1850508     0.00     0.00  x264_prefetch_fenc
  0.01    333.75     0.03   970088     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.01    333.79     0.03   534986     0.00     0.00  x264_cabac_mb_ref
  0.01    333.81     0.03   456563     0.00     0.00  x264_cabac_mb_cbp_chroma
  0.01    333.85     0.03    68707     0.00     0.00  x264_mb_encode_i16x16
  0.01    333.88     0.03     2017     0.00     0.00  x264_nal_encode
  0.01    333.90     0.03      679     0.00     0.03  x264_macroblock_tree
  0.01    333.93     0.03  1074394     0.00     0.00  x264_pixel_sad_x4_16x8
  0.01    333.95     0.02  1990652     0.00     0.00  mc_copy_w16
  0.01    333.97     0.02  1839711     0.00     0.00  predict_4x4_hu
  0.01    333.99     0.02  1734804     0.00     0.00  predict_4x4_vr
  0.01    334.01     0.02   788832     0.00     0.00  x264_cabac_mb_skip
  0.01    334.03     0.02   712135     0.00     0.00  x264_pixel_sad_x3_16x8
  0.01    334.05     0.02   339516     0.00     0.00  x264_cabac_mb_qp_delta
  0.01    334.07     0.02   327627     0.00     0.00  x264_macroblock_encode_skip
  0.01    334.09     0.02   117337     0.00     0.00  x264_mb_analyse_inter_p16x8
  0.01    334.11     0.02    68707     0.00     0.00  dct4x4dc
  0.01    334.13     0.02    32466     0.00     0.00  predict_16x16_dc_left
  0.01    334.15     0.02    14124     0.00     0.00  pixel_avg_8x16
  0.01    334.17     0.02      673     0.00     0.00  x264_slicetype_frame_cost_recalculate
  0.01    334.19     0.02        1     0.02     0.02  x264_cqm_init
  0.01    334.21     0.02                             memset
  0.00    334.23     0.01  2245405     0.00     0.00  predict_4x4_h
  0.00    334.24     0.01  1850508     0.00     0.00  prefetch_fenc_null
  0.00    334.25     0.01   148526     0.00     0.00  sub8x8_dct_dc
  0.00    334.27     0.01                             mc_copy_w4
  0.00    334.29     0.01                             x264_pixel_ssd_16x8
  0.00    334.30     0.01   791565     0.00     0.00  x264_cabac_encode_terminal
  0.00    334.31     0.01   472172     0.00     0.00  predict_16x16_mode_available
  0.00    334.31     0.01   472172     0.00     0.00  x264_intra_rd
  0.00    334.32     0.01   264512     0.00     0.00  predict_8x8chroma_mode_available
  0.00    334.33     0.01   263340     0.00     0.00  x264_mb_predict_mv_pskip
  0.00    334.35     0.01   227472     0.00     0.00  x264_cabac_mb8x8_mvd
  0.00    334.36     0.01   183904     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00    334.37     0.01    69997     0.00     0.00  predict_8x8_dc_left
  0.00    334.38     0.01    38000     0.00     0.00  x264_fdec_filter_row
  0.00    334.38     0.01    19205     0.00     0.00  predict_16x16_dc_top
  0.00    334.39     0.01    12114     0.00     0.00  x264_frame_expand_border
  0.00    334.40     0.01     4649     0.00     0.00  x264_frame_shift
  0.00    334.42     0.01     4558     0.00     0.00  x264_mb_cache_mv_b16x8
  0.00    334.43     0.01     3188     0.00     0.00  pixel_avg_4x8
  0.00    334.44     0.01     2298     0.00     0.00  pixel_avg_8x4
  0.00    334.44     0.01     2040     0.00     0.16  x264_encoder_encode
  0.00    334.45     0.01     2000     0.00     0.00  x264_cabac_context_init
  0.00    334.46     0.01     2000     0.00     0.00  x264_encoder_frame_end
  0.00    334.48     0.01     2000     0.00     0.00  x264_frame_init_lowres
  0.00    334.49     0.01      681     0.00     0.09  x264_slicetype_analyse
  0.00    334.50     0.01      679     0.00     0.00  x264_macroblock_tree_finish
  0.00    334.50     0.01        1     0.01     0.01  x264_deblock_init
  0.00    334.51     0.01        1     0.01     0.01  x264_predict_16x16_init
  0.00    334.52     0.01                             __divdi3
  0.00    334.54     0.01                             __udivdi3
  0.00    334.55     0.01                             pixel_avg_4x2
  0.00    334.55     0.01  1086954     0.00     0.00  x264_coeff_last4
  0.00    334.56     0.01   526680     0.00     0.00  prefetch_ref_null
  0.00    334.56     0.01    26518     0.00     0.00  x264_cabac_mb_intra_chroma_pred_mode
  0.00    334.56     0.01                             x264_coeff_level_run4
  0.00    334.57     0.01                             x264_i8x8_chroma_size_cabac
  0.00    334.57     0.01                             x264_me_refine_qpel
  0.00    334.58     0.01                             x264_pixel_ssd_8x16
  0.00    334.58     0.00  2392710     0.00     0.00  x264_emms
  0.00    334.58     0.00   795228     0.00     0.00  sub16x16_dct8
  0.00    334.58     0.00   794000     0.00     0.00  x264_ratecontrol_qp
  0.00    334.58     0.00   792000     0.00     0.00  x264_bitstream_check_buffer
  0.00    334.58     0.00   207945     0.00     0.00  x264_refine_bidir
  0.00    334.58     0.00   130028     0.00     0.00  x264_cabac_mb_intra4x4_pred_mode
  0.00    334.58     0.00    96292     0.00     0.00  predict_8x8c_dc_left
  0.00    334.58     0.00    47801     0.00     0.00  x264_free
  0.00    334.58     0.00    38900     0.00     0.00  dequant_4x4_dc
  0.00    334.58     0.00    38842     0.00     0.00  add16x16_idct
  0.00    334.58     0.00    28604     0.00     0.00  predict_8x8c_dc_top
  0.00    334.58     0.00    24402     0.00     0.00  deblock_v_chroma_intra_c
  0.00    334.58     0.00    18756     0.00     0.00  predict_8x8_dc_top
  0.00    334.58     0.00    17948     0.00     0.00  deblock_h_chroma_intra_c
  0.00    334.58     0.00    16883     0.00     0.00  deblock_v_luma_intra_c
