Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.06    1.90 1630927/1630927     x264_pixel_sad_x3_16x8 [58]
                0.07    1.77 1636178/1636178     x264_pixel_sad_x3_8x16 [60]
                1.45    0.00 3741849/18251142     x264_pixel_sad_16x8 [38]
                1.37    0.00 3779418/18324723     x264_pixel_sad_8x16 [39]
-----------------------------------------------
                6.21  158.43 16636974/16636974     x264_me_search_ref [3]
[4]     39.6    6.21  158.43 16636974         refine_subpel [4]
                2.05   32.59 93006226/114525323     x264_pixel_satd_8x8 [12]
               33.39    0.00 129023831/181085429     get_ref [11]
                0.94   26.36 18522019/22774688     x264_pixel_satd_16x16 [17]
               24.90    0.00 122123149/138683736     mc_chroma [24]
                0.07   10.06 3555838/10331409     x264_pixel_sad_x4_16x16 [22]
                0.27    9.42 11957039/35343093     x264_pixel_sad_x4_8x8 [23]
                7.17    0.00 81812981/162598642     x264_pixel_satd_4x4 [30]
                0.17    3.15 4475813/4475813     x264_pixel_satd_8x16 [50]
                0.13    3.12 4423140/4423140     x264_pixel_satd_16x8 [51]
                0.01    1.26  808464/2400778     x264_pixel_sad_x4_16x8 [44]
                0.03    1.17  814974/2422591     x264_pixel_sad_x4_8x16 [47]
                0.12    1.03 5855975/5855975     x264_pixel_satd_4x8 [73]
                1.02    0.00 5842972/458171553     x264_pixel_satd_8x4 [5]
-----------------------------------------------
                1.02    0.00 5842972/458171553     refine_subpel [4]
                3.12    0.00 17931729/458171553     x264_pixel_satd_16x8 [51]
                3.15    0.00 18091026/458171553     x264_pixel_satd_8x16 [50]
               32.41    0.00 186008437/458171553     x264_pixel_satd_16x16 [17]
               40.13    0.00 230297389/458171553     x264_pixel_satd_8x8 [12]
[5]     19.2   79.83    0.00 458171553         x264_pixel_satd_8x4 [5]
-----------------------------------------------
                0.75   72.55 1291667/1291667     x264_macroblock_analyse [2]
[6]     17.6    0.75   72.55 1291667         x264_mb_analyse_inter_p16x16 [6]
                1.13   58.97 3436380/16694799     x264_me_search_ref [3]
                0.03    4.49  295867/3175740     x264_rd_cost_mb [10]
                0.09    1.99  290490/290490      x264_macroblock_probe_skip [57]
                0.07    1.82 4305879/4353212     x264_pixel_sa8d_8x8 [59]
                1.51    0.00 17237473/162598642     x264_pixel_satd_4x4 [30]
                0.97    0.00 17217640/17408005     x264_pixel_sad_4x4 [79]
                0.83    0.00 4248927/270695970     x264_pixel_sad_8x8 [8]
                0.42    0.00 3437670/3437670     x264_mb_predict_mv_ref16x16 [94]
                0.13    0.00 3398771/4600391     x264_mb_predict_mv_16x16 [114]
                0.02    0.08  237935/4183702     x264_analyse_update_cache [63]
-----------------------------------------------
               15.08    0.00 21392812/89478775     x264_pixel_sad_x3_16x16 [27]
               18.75    0.00 26600989/89478775     x264_me_search_ref [3]
               29.24    0.00 41484974/89478775     x264_pixel_sad_x4_16x16 [22]
[7]     15.2   63.06    0.00 89478775         x264_pixel_sad_16x16 [7]
-----------------------------------------------
                0.01    0.00   46783/270695970     x264_mb_cache_fenc_satd [141]
                0.83    0.00 4248927/270695970     x264_mb_analyse_inter_p16x16 [6]
                9.82    0.00 50411224/270695970     x264_me_search_ref [3]
               14.26    0.00 73175225/270695970     x264_pixel_sad_x3_8x8 [29]
               27.83    0.00 142813811/270695970     x264_pixel_sad_x4_8x8 [23]
[8]     12.7   52.75    0.00 270695970         x264_pixel_sad_8x8 [8]
-----------------------------------------------
                0.73   14.34 1297779/4476451     x264_slices_write [1]
                1.80   35.11 3178672/4476451     x264_rd_cost_mb [10]
[9]     12.5    2.54   49.45 4476451         x264_macroblock_encode [9]
                1.19   13.88 4305802/4305802     x264_mb_encode_8x8_chroma [28]
               14.56    0.00 65620628/107763172     quant_4x4 [25]
                0.23    7.72 4079622/4079622     sub16x16_dct [34]
                0.15    6.22 3732858/3732858     x264_mb_mc [40]
                0.06    2.56 4165966/5349546     add8x8_idct [48]
                0.96    0.00 16303646/16541560     x264_decimate_score16 [80]
                0.70    0.00 19085847/26084566     dequant_4x4 [81]
                0.00    0.35  142540/142540      add16x16_idct [98]
                0.30    0.00 19675241/27079001     zigzag_scan_4x4_frame [95]
                0.09    0.00  231300/231300      idct4x4dc [134]
                0.09    0.00  108056/108056      add16x16_idct_dc [135]
                0.00    0.08  185113/5499265     x264_mb_encode_i4x4 [56]
                0.06    0.00  237321/237321      dequant_4x4_dc [140]
                0.04    0.00  294530/294530      dct4x4dc [144]
                0.04    0.00  294373/294373      quant_4x4_dc [145]
                0.04    0.00  564854/3945607     predict_8x8c_dc [104]
                0.03    0.00  552789/5094699     x264_decimate_score15 [100]
                0.03    0.00   33764/1084129     predict_16x16_p [85]
                0.02    0.00  232110/232110      x264_macroblock_encode_skip [162]
                0.00    0.01  183679/2946188     mc_copy_w16 [106]
