Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     27.02     0.00        1     0.00     0.00  x264_rdo_init
  0.00     27.02     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00     27.02     0.00        1     0.00     0.00  x264_sei_version_write
  0.00     27.02     0.00        1     0.00     0.00  x264_set_aspect_ratio
  0.00     27.02     0.00        1     0.00     0.00  x264_sps_write
  0.00     27.02     0.00        1     0.00     0.00  x264_validate_parameters
  0.00     27.02     0.00        1     0.00     0.00  x264_zigzag_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.04% of 27.02 seconds

index % time    self  children    called     name
                0.00   26.98       1/1           main [2]
[1]     99.8    0.00   26.98       1         Encode [1]
                0.01   26.94     190/190         Encode_frame [3]
                0.00    0.02       1/1           x264_encoder_open [128]
                0.00    0.00     152/152         x264_mdate [267]
                0.00    0.00     150/150         read_frame_yuv [271]
                0.00    0.00      41/41          x264_encoder_delayed_frames [294]
                0.00    0.00       1/1           get_frame_total_yuv [304]
                0.00    0.00       1/1           set_param_bsf [309]
                0.00    0.00       1/1           x264_picture_alloc [321]
                0.00    0.00       1/1           x264_picture_clean [322]
                0.00    0.00       1/1           x264_encoder_close [315]
                0.00    0.00       1/47801       x264_free [218]
                0.00    0.00       1/1           close_file_yuv [303]
                0.00    0.00       1/1           close_file_bsf [302]
-----------------------------------------------
                                                 <spontaneous>
[2]     99.8    0.00   26.98                 main [2]
                0.00   26.98       1/1           Encode [1]
                0.00    0.00       1/1           x264_param_default [320]
                0.00    0.00       1/1           Parse [301]
-----------------------------------------------
                0.01   26.94     190/190         Encode [1]
[3]     99.8    0.01   26.94     190         Encode_frame [3]
                0.00   26.94     190/190         x264_encoder_encode [4]
                0.00    0.00     153/153         x264_nal_encode [264]
                0.00    0.00     153/153         write_nalu_bsf [263]
                0.00    0.00     150/150         set_eop_bsf [272]
                0.00    0.00       2/47801       x264_free [218]
                0.00    0.00       2/4867        x264_malloc [233]
-----------------------------------------------
                0.00   26.94     190/190         Encode_frame [3]
[4]     99.7    0.00   26.94     190         x264_encoder_encode [4]
                0.00   23.07     150/150         x264_slices_write [6]
                0.00    3.69      76/76          x264_slicetype_decide [16]
                0.00    0.09     150/150         x264_frame_init_lowres [88]
                0.00    0.05     150/150         x264_adaptive_quant_frame [105]
                0.00    0.05     150/150         x264_ratecontrol_start [107]
                0.00    0.00     375/597         x264_frame_push [251]
                0.00    0.00     372/372         x264_frame_shift [254]
                0.00    0.00     225/226         x264_frame_pop_unused [259]
                0.00    0.00     150/150         x264_frame_copy_picture [279]
                0.00    0.00     150/59550       x264_ratecontrol_qp [212]
                0.00    0.00     150/150         x264_slice_header_init [284]
                0.00    0.00     150/150         x264_macroblock_slice_init [280]
                0.00    0.00     150/150         x264_encoder_frame_end [278]
                0.00    0.00      74/74          x264_macroblock_bipred_init [291]
                0.00    0.00      72/222         x264_frame_push_unused [260]
                0.00    0.00       3/153         x264_nal_start [266]
                0.00    0.00       3/153         x264_nal_end [265]
                0.00    0.00       1/1           x264_sei_version_write [336]
                0.00    0.00       1/1           x264_sps_write [338]
                0.00    0.00       1/1           x264_pps_write [325]
-----------------------------------------------
                0.01   23.06     150/150         x264_slices_write [6]
[5]     85.4    0.01   23.06     150         x264_slice_write [5]
                0.05   21.28   59400/59400       x264_macroblock_analyse [7]
                0.02    0.96   59400/313340      x264_macroblock_encode [11]
