Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     10.25     0.00        1     0.00     0.00  x264_ratecontrol_summary
  0.00     10.25     0.00        1     0.00     0.00  x264_rdo_init
  0.00     10.25     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00     10.25     0.00        1     0.00     0.00  x264_sei_version_write
  0.00     10.25     0.00        1     0.00     0.00  x264_sps_write
  0.00     10.25     0.00        1     0.00     0.00  x264_validate_parameters
  0.00     10.25     0.00        1     0.00     0.00  x264_zigzag_init

			Call graph


granularity: each sample hit covers 4 byte(s) for 0.10% of 10.25 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   10.25                 main [1]
                0.00   10.25     115/115         Encode_frame [2]
                0.00    0.00       1/1           x264_encoder_open [116]
                0.00    0.00      77/77          x264_mdate [182]
                0.00    0.00      75/75          read_frame_yuv [184]
                0.00    0.00      41/41          x264_encoder_delayed_frames [193]
                0.00    0.00       1/1           x264_param_default [221]
                0.00    0.00       1/1           open_file_bsf [204]
                0.00    0.00       1/1           open_file_yuv [205]
                0.00    0.00       1/1           get_frame_total_yuv [202]
                0.00    0.00       1/1           set_param_bsf [207]
                0.00    0.00       1/1           x264_picture_alloc [222]
                0.00    0.00       1/1           x264_picture_clean [223]
                0.00    0.00       1/1           x264_encoder_close [215]
                0.00    0.00       1/47798       x264_free [127]
                0.00    0.00       1/1           close_file_yuv [201]
                0.00    0.00       1/1           close_file_bsf [200]
-----------------------------------------------
                0.00   10.25     115/115         main [1]
[2]    100.0    0.00   10.25     115         Encode_frame [2]
                0.00   10.24     115/115         x264_encoder_encode [3]
                0.01    0.00      75/75          x264_encoder_frame_end [87]
                0.00    0.00      78/78          x264_nal_encode [181]
                0.00    0.00      78/78          write_nalu_bsf [180]
                0.00    0.00      75/75          set_eop_bsf [185]
                0.00    0.00       2/47798       x264_free [127]
                0.00    0.00       2/1306        x264_malloc [156]
-----------------------------------------------
                0.00   10.24     115/115         Encode_frame [2]
[3]     99.9    0.00   10.24     115         x264_encoder_encode [3]
                0.01    9.07      75/75          x264_slice_write [4]
                0.00    0.97      75/75          x264_slicetype_decide [15]
                0.00    0.08      75/75          x264_frame_init_lowres [46]
                0.00    0.05      75/75          x264_ratecontrol_start [59]
                0.00    0.05      75/75          x264_adaptive_quant_frame [62]
                0.00    0.00     224/224         x264_frame_push [173]
                0.00    0.00     221/221         x264_frame_shift [174]
                0.00    0.00     149/150         x264_frame_pop_unused [175]
                0.00    0.00      75/29775       x264_ratecontrol_qp [139]
                0.00    0.00      75/75          x264_macroblock_slice_init [187]
                0.00    0.00      75/75          x264_frame_copy_picture [186]
                0.00    0.00      71/146         x264_frame_push_unused [176]
