-32218 	 18501
-1448 	 -129
1036 	 -354
38198 	 63420
10995 	 -36628
614 	 -854
2293 	 391
64526 	 -49092
-729 	 26536
-18097 	 -14267
123 	 -224
36445 	 -35761
52785 	 1171
-297 	 -231
14820 	 706
-45100 	 17858
-37352 	 55733
1888 	 -4121
743 	 168
-16704 	 38377
59404 	 64127
735 	 634
918 	 -120
-60319 	 -35388
-33394 	 -15504
-16419 	 8998
655 	 -532
43300 	 34364
13009 	 -31050
16 	 -450
23132 	 -36256
-16118 	 -23874
-12202 	 -57198
1185 	 -855
963 	 213
31683 	 52859
40423 	 13443
254 	 420
4531 	 308
-43823 	 46532
57755 	 -31266
-10062 	 -4132
900 	 -288
-5993 	 -49803
13047 	 46697
784 	 -438
59368 	 24321
-15202 	 10896
-46793 	 -56516
319 	 1874
491 	 -345
-52588 	 -63380
-5098 	 44576
-483 	 -624
1965 	 -46
29506 	 -64578
28708 	 -1830
1195 	 920
411 	 209
-62618 	 -6806
-51528 	 35919
312 	 278
48245 	 -24863
14296 	 -58469
37484 	 -25175
-1170 	 -906
1158 	 -209
27567 	 -14042
22224 	 -27990
869 	 -568
2409 	 432
27343 	 -57215
-16802 	 46859
40428 	 -59561
216 	 -400
-27926 	 -35054
22075 	 -36646
-188 	 -514
35181 	 -8741
55458 	 25374
-59279 	 44334
3030 	 -2286
586 	 184
46802 	 -57494
-62695 	 60681
233 	 740
1067 	 -242
-54590 	 65232
6222 	 -62709
35048 	 32337
798 	 -356
-50856 	 -37968
-8346 	 -53500
-53 	 0
-8545 	 -61142
38549 	 -17563
-20495 	 60022
119 	 -1546
1166 	 108
24701 	 -52893
51306 	 58497
834 	 129
2983 	 353
-25723 	 30962
60261 	 31368
-925 	 -65201
591 	 -525
-36454 	 25779
-53018 	 -40423
332 	 -750
-47076 	 59292
37349 	 -11762
-40090 	 -50181
2547 	 892
375 	 -29
-52582 	 55326
34663 	 4077
-540 	 233
1527 	 -291
-36025 	 19281
22008 	 25100
4221 	 -1075
762 	 56
62404 	 -42157
57351 	 752
747 	 74
54862 	 23446
27414 	 -34043
43715 	 44695
-1293 	 747
857 	 -435
-47586 	 -29910
65097 	 -35791
238 	 -981
2210 	 284
-33552 	 -37165
-33980 	 -2716
38260 	 -43972
131 	 -30
-54342 	 4507
47210 	 60998
-248 	 71
8716 	 675
-13627 	 -3442
39910 	 58421
-448 	 -5554
872 	 64
-3743 	 53772
22319 	 -47777
1135 	 274
856 	 23
11720 	 -18092
-30296 	 -13905
-34498 	 -24182
440 	 -619
-52481 	 36220
-3435 	 -57738
102 	 -533
7643 	 -13281
13940 	 -30126
-12842 	 37417
1287 	 -564
915 	 189
-9049 	 -53679
19529 	 37943
94 	 386
5193 	 349
47693 	 -28419
-57880 	 -31728
-6780 	 -5473
928 	 -196
-39973 	 54763
24193 	 58116
826 	 -307
62281 	 -23785
-20714 	 63526
-53605 	 58735
-214 	 1744
570 	 -398
-43842 	 2846
60973 	 30749
-340 	 -785
2045 	 39
-40002 	 34096
-5534 	 30220
11080 	 -53781
318 	 181
59187 	 43294
59098 	 -427
194 	 248
-35069 	 -1094
15098 	 -53011
-62652 	 -53625
-906 	 -1199
1190 	 -125
-16496 	 23313
59014 	 -18905
931 	 -391
2497 	 428
57245 	 23254
-29893 	 36551
-57743 	 -48974
295 	 -466
-34026 	 -1380
-42133 	 -56924
-84 	 -624
48846 	 -45296
-33131 	 55097
656 	 -757
3209 	 -1364
512 	 158
-409 	 49374
