Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M -> S, 158, 28.070738077, 0.000181913, 1.999905109, 0x3: EVENT:PATH_DELAY_RESP, 6379, 1312261143.087670100
M -> S, 159, 28.070824146, 0.000086069, 1.999902964, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6379, 1312261143.087850100
M -> S, 160, 28.994436979, 0.923612833, 1.000005960, 0x0: EVENT:SYNC, 12795, 1312261144.011534500
M -> S, 161, 28.994467020, 0.000030041, 1.999996901, 0xB: GENER:ANNOUNCE, 6397, 0.000000000
M -> S, 162, 28.994482040, 0.000015020, 1.999997854, 0x2: EVENT:PATH_DELAY_REQ, 6397, 1312261144.011593300
M -> S, 163, 28.994565964, 0.000083923, 1.000033855, 0x8: GENER:FOLLOW_UP, 12795, 1312261144.011548000
M <- S, 164, 28.995434999, 0.000869036, 2.000030994, 0x3: EVENT:PATH_DELAY_RESP, 6397, 1312261144.011451000
M <- S, 165, 28.995452166, 0.000017166, 2.000034094, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6397, 1312261144.011972900
M -> S, 166, 29.994433165, 0.998980999, 0.999996185, 0x0: EVENT:SYNC, 12796, 1312261145.011529700
M -> S, 167, 29.994537115, 0.000103951, 0.999971151, 0x8: GENER:FOLLOW_UP, 12796, 1312261145.011544000
M <- S, 168, 30.070954084, 0.076416969, 2.000397921, 0x2: EVENT:PATH_DELAY_REQ, 6380, 1312261145.087456500
M -> S, 169, 30.071139097, 0.000185013, 2.000401020, 0x3: EVENT:PATH_DELAY_RESP, 6380, 1312261145.088068000
M -> S, 170, 30.071226120, 0.000087023, 2.000401974, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6380, 1312261145.088251100
M -> S, 171, 30.994436979, 0.923210859, 1.000003815, 0x0: EVENT:SYNC, 12797, 1312261146.011535400
M -> S, 172, 30.994467974, 0.000030994, 2.000000954, 0xB: GENER:ANNOUNCE, 6398, 0.000000000
M -> S, 173, 30.994482994, 0.000015020, 2.000000954, 0x2: EVENT:PATH_DELAY_REQ, 6398, 1312261146.011594300
M -> S, 174, 30.994565964, 0.000082970, 1.000028849, 0x8: GENER:FOLLOW_UP, 12797, 1312261146.011549000
M <- S, 175, 30.995436192, 0.000870228, 2.000001192, 0x3: EVENT:PATH_DELAY_RESP, 6398, 1312261146.011396900
M <- S, 176, 30.995452166, 0.000015974, 2.000000000, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6398, 1312261146.011912100
M -> S, 177, 31.994438171, 0.998986006, 1.000001192, 0x0: EVENT:SYNC, 12798, 1312261147.011534500
M -> S, 178, 31.994541168, 0.000102997, 0.999975204, 0x8: GENER:FOLLOW_UP, 12798, 1312261147.011549000
M <- S, 179, 32.070605993, 0.076064825, 1.999651909, 0x2: EVENT:PATH_DELAY_REQ, 6381, 1312261147.086987300
M -> S, 180, 32.070801020, 0.000195026, 1.999661922, 0x3: EVENT:PATH_DELAY_RESP, 6381, 1312261147.087719900
M -> S, 181, 32.070888996, 0.000087976, 1.999662876, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6381, 1312261147.087912100
