x, 0, x, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f866, 80, 66, 00, 00, 00, ff, 24, f866, 80, 1f, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f866, df, 66, 00, 00, 00, ff, 24, f866, 80, 1f, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f866, df, 66, 00, 00, 00, ff, 24, f866, 80, 1f, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f846, df, 24, 00, 00, 00, ff, 24, f846, 80, df, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f846, df, 24, 00, 00, 00, ff, 24, f846, 80, df, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f846, a9, 24, 00, 00, 00, ff, 24, f846, 80, df, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f846, a9, 24, 00, 00, 00, ff, 24, f846, 80, df, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f847, a9, 47, 00, 00, 00, ff, 24, f847, a9, df, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f847, a9, 47, 00, 00, 00, ff, 24, f847, a9, df, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f847, 80, 47, 00, 00, 00, ff, 24, f847, a9, df, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f847, 80, 47, 00, 00, 00, ff, 24, f847, a9, df, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f848, 80, 24, 00, 00, 00, ff, 24, f848, a9, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f848, 80, 24, 00, 00, 00, ff, 24, f848, a9, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f848, 10, 24, 00, 00, 00, ff, 24, f848, a9, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f848, 10, 24, 00, 00, 00, ff, 24, f848, a9, 80, f8
